Unnamed: 0,name,main_category,sub_category,image,link,ratings,no_of_ratings,discount_price,actual_price,img_path,actual_price_yen,sharpness,sharpness_ave,light_or_dark,T_proxy,outcome,y0,y1
108,WHITE BIRD Formal Analogue Women's Watch(Black Dial Womens Standard Black Colored Strap)-IGP002,accessories,Watches,https://m.media-amazon.com/images/I/81N03bDI0wL._AC_UL320_.jpg,https://www.amazon.in/WHITE-BIRD-Analogue-Standard-Colored/dp/B0BQ6CRZGH/ref=sr_1_113?qid=1679155586&s=watches&sr=1-113,3.9,471,₹899,2499.0,/root/graduation_thetis/causal-bert-pytorch/input/watch_images/108.jpg,274890.0,8414.382295588915,0,1,1,1,0.5643943279946857,0.742502410492488
109,Titan Analog Multi-Color Dial Women's Watch-NL2401YM01/NP2401YM01,accessories,Watches,https://m.media-amazon.com/images/I/615iGPCx6VL._AC_UL320_.jpg,https://www.amazon.in/Titan-Analog-Multi-Color-Womens-Watch-NK2401YM01/dp/B00ASNWK52/ref=sr_1_114?qid=1679155586&s=watches&sr=1-114,4.1,584,,2020.0,/root/graduation_thetis/causal-bert-pytorch/input/watch_images/109.jpg,222200.0,7946.488719984375,0,1,1,1,0.5643943279946857,0.742502410492488
110,TIMEX Analog Gold Dial Women's Watch-TWHL41SMU05,accessories,Watches,https://m.media-amazon.com/images/I/71O+d3oWduL._AC_UL320_.jpg,https://www.amazon.in/TIMEX-Analog-womens-Watch-TWHL41SMU05/dp/B08W4HXZ79/ref=sr_1_115?qid=1679155586&s=watches&sr=1-115,4.5,109,"₹1,899",3495.0,/root/graduation_thetis/causal-bert-pytorch/input/watch_images/110.jpg,384450.0,7639.993140081788,0,1,1,0,0.5643943279946857,0.742502410492488
111,Michael Kors Chronograph Women's Watch (Dial Colored Strap),accessories,Watches,https://m.media-amazon.com/images/I/81X6b+mWenL._AC_UL320_.jpg,https://www.amazon.in/Michael-Kors-Analog-Womens-Watch-MK5896/dp/B00FZE1AZU/ref=sr_1_116?qid=1679155586&s=watches&sr=1-116,4.2,2515,"₹19,495",23995.0,/root/graduation_thetis/causal-bert-pytorch/input/watch_images/111.jpg,2639450.0,15076.468289641583,1,1,1,1,0.4514033691933461,0.6467989107992148
112,Joker & Witch Vintage Square Black Dial Rosegold Magnetic Watch for Women,accessories,Watches,https://m.media-amazon.com/images/I/71-7v1UGEyL._AC_UL320_.jpg,https://www.amazon.in/Joker-Witch-Vintage-Rosegold-Magnetic/dp/B086GSP5Y2/ref=sr_1_121?qid=1679155586&s=watches&sr=1-121,3.7,153,₹854,3799.0,/root/graduation_thetis/causal-bert-pytorch/input/watch_images/112.jpg,417890.0,14026.15472115652,1,1,1,1,0.4514033691933461,0.6467989107992148
113,Fastrack Tropical Waters Analog Green Dial Women's Watch-NL68008SM07/NP68008SM07,accessories,Watches,https://m.media-amazon.com/images/I/71OKNZr3SmL._AC_UL320_.jpg,https://www.amazon.in/Fastrack-Tropical-Waters-Analog-Watch-68008SM07/dp/B07JDFWTPG/ref=sr_1_122?qid=1679155586&s=watches&sr=1-122,4.4,564,,1550.0,/root/graduation_thetis/causal-bert-pytorch/input/watch_images/113.jpg,170500.0,5373.226320879408,0,1,1,1,0.5643943279946857,0.742502410492488
114,Daniel Klein Analog Black Dial Women's Watch-DK11421-5,accessories,Watches,https://m.media-amazon.com/images/I/61q6wOFoAQL._AC_UL320_.jpg,https://www.amazon.in/Daniel-Klein-Analog-Womens-Watch-DK11421-5/dp/B07CTQXMSW/ref=sr_1_123?qid=1679155586&s=watches&sr=1-123,4.1,1554,"₹1,660",3750.0,/root/graduation_thetis/causal-bert-pytorch/input/watch_images/114.jpg,412500.0,8315.707872777437,0,0,0,0,0.5643943279946857,0.742502410492488
116,Titan Neo Analog Black Dial Women's Watch-2648NL01/NP2648NL01,accessories,Watches,https://m.media-amazon.com/images/I/61r5WmqM68L._AC_UL320_.jpg,https://www.amazon.in/Titan-Analog-Black-Womens-Watch-2648NL01/dp/B08HCQ2GZF/ref=sr_1_125?qid=1679155586&s=watches&sr=1-125,4.3,154,"₹2,159",2795.0,/root/graduation_thetis/causal-bert-pytorch/input/watch_images/116.jpg,307450.0,4052.512843103335,0,0,0,0,0.5643943279946857,0.742502410492488
117,Acnos Analog Women's Watch (Multicolour Dial Multi Colored Strap),accessories,Watches,https://m.media-amazon.com/images/I/61kp-KtbQeL._AC_UL320_.jpg,https://www.amazon.in/Acnos-Brand-Branded-Stainless-Wathces/dp/B093C4XPNQ/ref=sr_1_126?qid=1679155586&s=watches&sr=1-126,4.1,1393,₹281,1999.0,/root/graduation_thetis/causal-bert-pytorch/input/watch_images/117.jpg,219890.0,10339.545589003352,0,1,1,0,0.5643943279946857,0.742502410492488
119,Shocknshop Analogue Girl's & Boy's Watch (Pack of 2) ( White Dial Pink & Purple Colored Strap ),accessories,Watches,https://m.media-amazon.com/images/I/61YtVrTeVnL._AC_UL320_.jpg,https://www.amazon.in/Shocknshop-Analogue-White-Girls-Multicolour/dp/B07TZC2X6P/ref=sr_1_128?qid=1679155586&s=watches&sr=1-128,3.6,2702,₹249,999.0,/root/graduation_thetis/causal-bert-pytorch/input/watch_images/119.jpg,109890.0,6648.116231902005,0,1,1,0,0.5643943279946857,0.742502410492488
120,Daniel Klein Analog Gold Dial Women's Watch-DK11430-4,accessories,Watches,https://m.media-amazon.com/images/I/61X3gCE5g+L._AC_UL320_.jpg,https://www.amazon.in/Daniel-Klein-Analog-Womens-Watch-DK11430-4/dp/B07V9X94R7/ref=sr_1_129?qid=1679155586&s=watches&sr=1-129,4.2,146,"₹2,394",5700.0,/root/graduation_thetis/causal-bert-pytorch/input/watch_images/120.jpg,627000.0,3810.178770892715,0,1,0,1,0.5643943279946857,0.742502410492488
121,IMPERIOUS - THE ROYAL WAY Analogue Women's Watch (Silver Dial Colored Strap),accessories,Watches,https://m.media-amazon.com/images/I/612kvs5NqAL._AC_UL320_.jpg,https://www.amazon.in/Imperious-Analog-White-Womens-Watch/dp/B07G9DTFMV/ref=sr_1_130?qid=1679155586&s=watches&sr=1-130,4.0,1319,₹759,3100.0,/root/graduation_thetis/causal-bert-pytorch/input/watch_images/121.jpg,341000.0,7829.668568127381,0,1,1,0,0.5643943279946857,0.742502410492488
122,Fossil Jacqueline Analog Mother of Pearl Dial Women's Watch-ES5168,accessories,Watches,https://m.media-amazon.com/images/I/61zd4kLLNYL._AC_UL320_.jpg,https://www.amazon.in/Fossil-Jacqueline-Analog-Mother-Watch-ES5168/dp/B09PFFF985/ref=sr_1_131?qid=1679155586&s=watches&sr=1-131,4.3,60,"₹6,995",9995.0,/root/graduation_thetis/causal-bert-pytorch/input/watch_images/122.jpg,1099450.0,4947.177427947659,0,1,1,1,0.5643943279946857,0.742502410492488
123,Daniel Klein Analog Blue Dial Women's Watch-DK11404-4,accessories,Watches,https://m.media-amazon.com/images/I/61GhZhsGrMS._AC_UL320_.jpg,https://www.amazon.in/Daniel-Klein-Analog-Womens-Watch-DK11404-4/dp/B07B6F759B/ref=sr_1_132?qid=1679155586&s=watches&sr=1-132,4.2,1258,"₹1,700",4250.0,/root/graduation_thetis/causal-bert-pytorch/input/watch_images/123.jpg,467500.0,16046.866620498726,1,0,0,1,0.4514033691933461,0.6467989107992148
124,Sonata Essentials Analog Black Dial Women's Watch-NN87030PL02W/NP87030PL02W,accessories,Watches,https://m.media-amazon.com/images/I/611xK2SXGVL._AC_UL320_.jpg,https://www.amazon.in/Sonata-Essentials-Analog-Womens-Watch-87030PL02/dp/B082DFRFPV/ref=sr_1_133?qid=1679155586&s=watches&sr=1-133,4.1,379,,799.0,/root/graduation_thetis/causal-bert-pytorch/input/watch_images/124.jpg,87890.0,9024.2210441851,0,0,0,0,0.5643943279946857,0.742502410492488
125,Fastrack Analog Pink Dial Women's Watch-6172SL03,accessories,Watches,https://m.media-amazon.com/images/I/61ey-iSMs8S._AC_UL320_.jpg,https://www.amazon.in/Fastrack-Analog-Pink-Womens-Watch-6172SL03/dp/B093GZJ583/ref=sr_1_134?qid=1679155586&s=watches&sr=1-134,4.2,155,,2195.0,/root/graduation_thetis/causal-bert-pytorch/input/watch_images/125.jpg,241450.0,5945.216884868221,0,1,1,1,0.5643943279946857,0.742502410492488
126,NIBOSI Women's Watches Leather Strap Analogue Simple Style Ladies Fashion Watches Waterproof Watch for Wife Miss Women Bir...,accessories,Watches,https://m.media-amazon.com/images/I/71JYlQhi3aL._AC_UL320_.jpg,https://www.amazon.in/NIBOSI-Watches-Analogue-Waterproof-Birthday/dp/B09X1F32N1/ref=sr_1_135?qid=1679155586&s=watches&sr=1-135,3.9,328,₹659,1500.0,/root/graduation_thetis/causal-bert-pytorch/input/watch_images/126.jpg,165000.0,5458.587901560859,0,1,1,1,0.5643943279946857,0.742502410492488
128,Fastrack Analog Rose Gold Dial Women's Watch-NM6147NM01 / NL6147NL01/NP6147NM01,accessories,Watches,https://m.media-amazon.com/images/I/61xUXm+ZL2L._AC_UL320_.jpg,https://www.amazon.in/Fastrack-Analog-Rose-Womens-Watch-NK6147NM01/dp/B01I1VVQ5W/ref=sr_1_137?qid=1679155586&s=watches&sr=1-137,4.3,351,,2495.0,/root/graduation_thetis/causal-bert-pytorch/input/watch_images/128.jpg,274450.0,7779.549589177691,0,0,0,1,0.5643943279946857,0.742502410492488
129,Fastrack Casual Analog Pink Dial Women's Watch-6247SL01,accessories,Watches,https://m.media-amazon.com/images/I/61evmKX7e6L._AC_UL320_.jpg,https://www.amazon.in/Fastrack-Casual-Analog-Womens-Watch-6247SL01/dp/B091F4VXHV/ref=sr_1_138?qid=1679155586&s=watches&sr=1-138,4.3,109,"₹1,319",1650.0,/root/graduation_thetis/causal-bert-pytorch/input/watch_images/129.jpg,181500.0,2573.7294548883724,0,1,1,1,0.5643943279946857,0.742502410492488
130,Emartos Analogue Women's & Girl's Watch (White Dial Multi Colored Strap),accessories,Watches,https://m.media-amazon.com/images/I/71rwjVbvZpL._AC_UL320_.jpg,https://www.amazon.in/Emartos-Analog-Flower-Printed-SAWHT-751/dp/B0814PV46S/ref=sr_1_139?qid=1679155586&s=watches&sr=1-139,3.7,1434,₹421,1499.0,/root/graduation_thetis/causal-bert-pytorch/input/watch_images/130.jpg,164890.0,7517.654236964398,0,1,1,0,0.5643943279946857,0.742502410492488
131,Acnos Analog Women's Watch (Black Dial Multi Colored Strap),accessories,Watches,https://m.media-amazon.com/images/I/61io5i0IUDL._AC_UL320_.jpg,https://www.amazon.in/Acnos-Magnet-Analogue-Womens-Bracelet/dp/B0925W8D7R/ref=sr_1_140?qid=1679155586&s=watches&sr=1-140,3.8,1141,₹285,1999.0,/root/graduation_thetis/causal-bert-pytorch/input/watch_images/131.jpg,219890.0,23857.08543260757,1,0,0,0,0.4514033691933461,0.6467989107992148
132,IMPERIOUS - THE ROYAL WAY Analogue Women's Watch (Silver Dial Colored Strap),accessories,Watches,https://m.media-amazon.com/images/I/510xwLc5ZgL._AC_UL320_.jpg,https://www.amazon.in/Imperious-Analog-White-Womens-Watch/dp/B07G9CJ18K/ref=sr_1_141?qid=1679155586&s=watches&sr=1-141,3.9,217,₹719,2100.0,/root/graduation_thetis/causal-bert-pytorch/input/watch_images/132.jpg,231000.0,4661.27660583064,0,1,1,1,0.5643943279946857,0.742502410492488
133,Leather World 6 Slot Vegan Leather Men Watch Box Display Case Organizer Glass Women Jewelry Storage Black,accessories,Watches,https://m.media-amazon.com/images/I/61OjH2B8tRL._AC_UL320_.jpg,https://www.amazon.in/Leather-World-Watch-Organizer-Black/dp/B084MK46HJ/ref=sr_1_142?qid=1679155586&s=watches&sr=1-142,4.2,814,₹585,1499.0,/root/graduation_thetis/causal-bert-pytorch/input/watch_images/133.jpg,164890.0,2973.590552189443,0,0,1,1,0.5643943279946857,0.742502410492488
135,Sonata Analog Champagne Dial Women's Watch-NL87018YM01/NP87018YM01,accessories,Watches,https://m.media-amazon.com/images/I/61EaT0oX7bL._AC_UL320_.jpg,https://www.amazon.in/Sonata-Analog-Champagne-Womens-Watch-NK87018YM01/dp/B072VHFTVF/ref=sr_1_144?qid=1679155586&s=watches&sr=1-144,4.2,1945,,825.0,/root/graduation_thetis/causal-bert-pytorch/input/watch_images/135.jpg,90750.0,9472.244514122704,0,1,1,1,0.5643943279946857,0.742502410492488
136,Zoop Frozen Analog Multi-Colour Dial Girl's Watch-NL26007PP05/NP26007PP05W,accessories,Watches,https://m.media-amazon.com/images/I/81gUDW+tEoL._AC_UL320_.jpg,https://www.amazon.in/Zoop-Frozen-Analog-Multi-Colour-Watch-26007PP05/dp/B07DTV4K38/ref=sr_1_145_mod_primary_new?qid=1679155586&s=watches&sbo=RZvfv%2F%2FHxDF%2BO5021pAnSA%3D%3D&sr=1-145,4.3,335,,995.0,/root/graduation_thetis/causal-bert-pytorch/input/watch_images/136.jpg,109450.0,7850.482287466485,0,1,1,0,0.5643943279946857,0.742502410492488
137,Titan Raga Viva Analog Rose Gold Dial Women's Watch-NL2606WM02/NQ2606WM02,accessories,Watches,https://m.media-amazon.com/images/I/61Pl2ZfzYfL._AC_UL320_.jpg,https://www.amazon.in/Titan-Raga-Analog-Womens-Watch-2606WM02/dp/B07D2K6DKF/ref=sr_1_146?qid=1679155586&s=watches&sr=1-146,4.6,201,"₹6,495",6945.0,/root/graduation_thetis/causal-bert-pytorch/input/watch_images/137.jpg,763950.0,4118.844098655114,0,1,1,1,0.5643943279946857,0.742502410492488
138,Tommy Hilfiger Analog Men's Watch (Blue Dial Blue Colored Strap),accessories,Watches,https://m.media-amazon.com/images/I/715DELJdP0L._AC_UL320_.jpg,https://www.amazon.in/Tommy-Hilfiger-Analog-Blue-Watch-TH1791476/dp/B07CTT1Y6C/ref=sr_1_147?qid=1679155586&s=watches&sr=1-147,4.2,182,"₹7,871",10495.0,/root/graduation_thetis/causal-bert-pytorch/input/watch_images/138.jpg,1154450.0,16395.79395071576,1,0,0,0,0.4514033691933461,0.6467989107992148
139,Shocknshop Analog Women's & Girl's Watch (Multicolour Dial Multi Colored Strap),accessories,Watches,https://m.media-amazon.com/images/I/71Yx3M1+mPL._AC_UL320_.jpg,https://www.amazon.in/Shocknshop-Casual-Analog-Watches-Colored/dp/B0BHTTZLWB/ref=sr_1_148?qid=1679155586&s=watches&sr=1-148,4.1,30,₹249,1199.0,/root/graduation_thetis/causal-bert-pytorch/input/watch_images/139.jpg,131890.0,7737.608598559134,0,0,0,1,0.5643943279946857,0.742502410492488
140,Titan Analog Brown Dial Women's Watch-2608QM02,accessories,Watches,https://m.media-amazon.com/images/I/41wgzVeYN5L._AC_UL320_.jpg,https://www.amazon.in/Titan-Analog-Brown-Womens-Watch-2608QM02/dp/B0BF5D5SVD/ref=sr_1_149?qid=1679155586&s=watches&sr=1-149,5.0,1,,5995.0,/root/graduation_thetis/causal-bert-pytorch/input/watch_images/140.jpg,659450.0,6074.327801881191,0,0,0,0,0.5643943279946857,0.742502410492488
141,Fastrack Fundamentals Analog White Dial Women's Watch NM68010SM01 / NL68010SM01/NP68010SM01,accessories,Watches,https://m.media-amazon.com/images/I/71MPyjvIigL._AC_UL320_.jpg,https://www.amazon.in/Fastrack-Fundamentals-Analog-Womens-Watch-68010SM01/dp/B07D2K1V6D/ref=sr_1_150?qid=1679155586&s=watches&sr=1-150,4.4,627,"₹1,069",1550.0,/root/graduation_thetis/causal-bert-pytorch/input/watch_images/141.jpg,170500.0,7471.414806971202,0,1,1,1,0.5643943279946857,0.742502410492488
142,Fastrack Upgrade-Core Analog Dial Women's Watch,accessories,Watches,https://m.media-amazon.com/images/I/71-g-DWDkQL._AC_UL320_.jpg,https://www.amazon.in/Fastrack-Upgrade-Core-Analog-Womens-NK2298SM02/dp/B009HS2DJC/ref=sr_1_151?qid=1679155586&s=watches&sr=1-151,4.1,2918,"₹1,850",2150.0,/root/graduation_thetis/causal-bert-pytorch/input/watch_images/142.jpg,236500.0,16170.939571462464,1,1,1,1,0.4514033691933461,0.6467989107992148
143,Titan Analog White Dial Women's Watch-NL2536BM02/NP2536BM02,accessories,Watches,https://m.media-amazon.com/images/I/81jFp92iv5L._AC_UL320_.jpg,https://www.amazon.in/Titan-Analog-White-Womens-Watch-NK2536BM02/dp/B01G76BS5G/ref=sr_1_152?qid=1679155586&s=watches&sr=1-152,4.3,720,"₹1,820",2275.0,/root/graduation_thetis/causal-bert-pytorch/input/watch_images/143.jpg,250250.0,20521.40861485495,1,1,1,1,0.4514033691933461,0.6467989107992148
145,Emartos Barbie 24 Images Projector Digital Kid's Watch (Pink),accessories,Watches,https://m.media-amazon.com/images/I/419Ei3SMN6S._AC_UL320_.jpg,https://www.amazon.in/Emartos-Barbie-Images-Projector-Digital/dp/B08QCS8C36/ref=sr_1_150?qid=1679155588&s=watches&sr=1-150,3.8,169,₹384,1499.0,/root/graduation_thetis/causal-bert-pytorch/input/watch_images/145.jpg,164890.0,1669.3743848837091,0,1,1,1,0.5643943279946857,0.742502410492488
146,On Time Octus Analog Girl's and Women's Watch (Multi Color Dial Multi-Colored Strap),accessories,Watches,https://m.media-amazon.com/images/I/71oCNMI1B1L._AC_UL320_.jpg,https://www.amazon.in/Octus-Analog-Womens-MT-392-Colored/dp/B0B134478H/ref=sr_1_151?qid=1679155588&s=watches&sr=1-151,4.2,520,₹239,999.0,/root/graduation_thetis/causal-bert-pytorch/input/watch_images/146.jpg,109890.0,4724.365467254916,0,1,1,0,0.5643943279946857,0.742502410492488
147,TIMEX Analog Rose Gold Dial Women's Watch-TWTL10305,accessories,Watches,https://m.media-amazon.com/images/I/51GXtfwUaGL._AC_UL320_.jpg,https://www.amazon.in/Timex-Analog-Rose-Womens-Watch-TWTL10305/dp/B083JXYT18/ref=sr_1_152?qid=1679155588&s=watches&sr=1-152,4.3,38,"₹1,919",2795.0,/root/graduation_thetis/causal-bert-pytorch/input/watch_images/147.jpg,307450.0,2854.309874594316,0,1,1,1,0.5643943279946857,0.742502410492488
148,Daniel Klein Analog Silver Dial Women's Watch-DK11683-3,accessories,Watches,https://m.media-amazon.com/images/I/61PNshM0rXL._AC_UL320_.jpg,https://www.amazon.in/Daniel-Klein-Analog-Silver-Watch-DK11683-3/dp/B07V699P6H/ref=sr_1_153?qid=1679155588&s=watches&sr=1-153,4.4,84,"₹1,950",6500.0,/root/graduation_thetis/causal-bert-pytorch/input/watch_images/148.jpg,715000.0,17584.232767203765,1,1,1,1,0.4514033691933461,0.6467989107992148
149,"Helix Timex Metalfit SPO2 smartwatch with Full Metal Body and Touch to Wake Feature, HRM, Sleep & Activity Tracker",accessories,Watches,https://m.media-amazon.com/images/I/61fRYHdvNfL._AC_UL320_.jpg,https://www.amazon.in/Helix-smartwatch-Full-touch-temperature-measurement/dp/B09DG3D71G/ref=sr_1_154?qid=1679155588&s=watches&sr=1-154,3.5,1328,"₹3,099",5999.0,/root/graduation_thetis/causal-bert-pytorch/input/watch_images/149.jpg,659890.0,5328.609988502664,0,0,0,0,0.5643943279946857,0.742502410492488
150,Casio Vintage Series Digital Grey Dial Unisex Watch - DB-360-1DF(DB27),accessories,Watches,https://m.media-amazon.com/images/I/61YXfm2mS+L._AC_UL320_.jpg,https://www.amazon.in/Casio-Vintage-Digital-Grey-Watch/dp/B00BWQSJLI/ref=sr_1_155?qid=1679155588&s=watches&sr=1-155,4.1,956,"₹1,989",2195.0,/root/graduation_thetis/causal-bert-pytorch/input/watch_images/150.jpg,241450.0,13063.774801115227,1,1,1,1,0.4514033691933461,0.6467989107992148
151,NIBOSI Watches for Women Rose Gold Dial Women Watches Analog Ladies Watches for Women Latest Stylish Diamond Wrist Watches...,accessories,Watches,https://m.media-amazon.com/images/I/81YJncclkDL._AC_UL320_.jpg,https://www.amazon.in/NIBOSI-Watches-Stylish-Diamond-Fashion/dp/B09XR1M9SV/ref=sr_1_156?qid=1679155588&s=watches&sr=1-156,4.2,184,"₹1,399",3000.0,/root/graduation_thetis/causal-bert-pytorch/input/watch_images/151.jpg,330000.0,19456.028887498,1,1,1,1,0.4514033691933461,0.6467989107992148
153,Talgo Analogue Alluring Round Black Dial Young Generation Black Silicone Strap Stylish Faminine Elegant Wrist Watch for Wo...,accessories,Watches,https://m.media-amazon.com/images/I/61ar-MAhL8L._AC_UL320_.jpg,https://www.amazon.in/Talgo-Casual-Designer-Black-Magnet/dp/B08B6CCZTP/ref=sr_1_158?qid=1679155588&s=watches&sr=1-158,3.5,1398,₹243,999.0,/root/graduation_thetis/causal-bert-pytorch/input/watch_images/153.jpg,109890.0,14883.023312618428,1,0,1,1,0.4514033691933461,0.6467989107992148
154,Fastrack Fits and Forms Analog White Dial Women's Watch-NM6093SL01 / NL6093SL01/NP6093SL01,accessories,Watches,https://m.media-amazon.com/images/I/61Cxwu05uGS._AC_UL320_.jpg,https://www.amazon.in/Fastrack-Forms-Analog-Womens-Watch-NK6093SL01/dp/B00GSJ4A26/ref=sr_1_159?qid=1679155588&s=watches&sr=1-159,4.3,526,"₹1,886",2695.0,/root/graduation_thetis/causal-bert-pytorch/input/watch_images/154.jpg,296450.0,4397.595059162733,0,1,1,1,0.5643943279946857,0.742502410492488
155,Sonata Analog Women's Watch,accessories,Watches,https://m.media-amazon.com/images/I/71iZXaJO31L._AC_UL320_.jpg,https://www.amazon.in/Sonata-Analog-Black-Womens-Watch-8170SM03/dp/B08J47KWLN/ref=sr_1_160?qid=1679155588&s=watches&sr=1-160,4.3,1930,₹699,874.0,/root/graduation_thetis/causal-bert-pytorch/input/watch_images/155.jpg,96140.0,12467.83871708747,1,1,1,1,0.4514033691933461,0.6467989107992148
156,Titan Modern Bandhan Analog Blue Dial Unisex's Watch-NM17342569KM01 / NL17342569KM01,accessories,Watches,https://m.media-amazon.com/images/I/61MIOfpvRFL._AC_UL320_.jpg,https://www.amazon.in/Titan-Modern-Bandhan-Analog-Watch-17342569KM01/dp/B0767KLQPF/ref=sr_1_161?qid=1679155588&s=watches&sr=1-161,4.1,56,"₹7,483",10690.0,/root/graduation_thetis/causal-bert-pytorch/input/watch_images/156.jpg,1175900.0,5122.132096362348,0,1,1,1,0.5643943279946857,0.742502410492488
